A  @
BALTIMORE'S   " b O l . t @ . % m O r z
BALTO   " b A l . t o&U
BALTODANO   % b O l . t o&U . " d A . n o&U
BALTSA   " b O l t . s @
BALTZ   " b { l t s
BALTZELL   " b { l t . z @ l
BALTZER   " b { l t . z @`
BALUCHI  b @ . " l u . t&S i
BALUJA  b @ . " l u . d&Z @
BALUKAS  b @ . " l u . k @ z
BALYEAT   % b { . l i . " { t
BALZ   " b O l z
BALZANO  b A l . " z A . n o&U
BALZARINI  b A l . z A . " r i . n i
BALZER   " b e&I l . z @`
BAM   " b { m
BAMBA   " b { m . b @
BAMBACH   " b { m . % b A k
BAMBENEK  b { m . " b E . n E k
BAMBER   " b { m . b @`
BAMBERG   " b { m . b @` g
BAMBERGER   " b { m . b @` . g @`
BAMBI   " b { m . b i
BAMBINO   % b { m . " b i . n o&U
BAMBINOS   % b { m . " b i . n o&U z
BAMBOO  b { m . " b u 
BAMBRICK   " b { m . b r I k
BAMBURG   " b { m . b @` g
BAME   " b e&I m
BAMFORD   " b { m . f @` d
BAMUT   " b { . m @ t
BAN   " b { n
BANACCI  b @ . " n A . t&S i
BANACH   " b { . n @ k
BANAL  b @ . " n A l
BANALITIES  b @ . " n { . l I . t i z
BANALITY  b @ . " n { . l I . t i
BANAMEX   " b { . n @ . % m E k s
BANANA  b @ . " n { . n @
BANANAS  b @ . " n { . n @ z
BANAS   " b { . n @ z
BANASIAK  b @ . " n A . s i . { k
BANASZAK  b @ . " n A . S @ k
BANBURY   " b { n . % b E . r i
BANC   " b { N k
BANCA   " b { N . k @
BANCA(2)   " b A N . k @
BANCAIRE  b { n . " k E r
BANCARIO  b { n . " k E . r i . o&U
BANCO   " b { N . k o&U
BANCOKLAHOMA  b { N . % k A k . l @ . " h o&U . m @
BANCOMER   " b { N . k @ . m @`
BANCOR   " b { n . % k O r
BANCORP   " b { N . k O r p
BANCORP'S   " b { N . k O r p s
BANCORP'S(2)   " b { n . k O r p s
BANCORP(2)   " b { n . k O r p
BANCORPORATION   " b { n . % k O r . p @` . e&I . S @ n
BANCROFT   " b { N . k r O f t
BANCROFT'S   " b { n . % k r O f t s
BANCSERVE   " b { n k . s @` v
BANCSHARES   " b { N k . S E r z
BANCSHARES'  b { N k . " S E r z
BANCTEC   " b { N k . % t E k
BANCTEXAS  b { N k . " t E k . s @ s
BAND   " b { n d
BAND'S   " b { n d z
BANDA   " b { n . d @
BANDAG   " b { n . % d { g
BANDAGE   " b { n . d I d&Z
BANDAGED   " b { n . d @ d&Z d
BANDAGES   " b { n . d @ . d&Z @ z
BANDAGES(2)   " b { n . d I . d&Z I z
BANDAI   % b { n . " d a&I 
BANDAID   " b { n . d e&I d
BANDANA   % b { n . " d { . n @
BANDANAS   % b { n . " d { . n @ z
BANDAR   " b { n . d A r
BANDED   " b { n . d I d
BANDEL   " b { n . d @ l
BANDEMER   " b { n . d i . m @`
BANDER   " b { n . d @`
BANDERAS  b { n . " d 3` . @ s
BANDERAS(2)  b A n . d @` . " V s
BANDICOOTS   " b { n . d I . % k u t s
BANDICOOTS(2)   " b { n . d i . % k u t s
BANDIED   " b { n . d i d
BANDING   " b { n . d I N
BANDIT   " b { n . d @ t
BANDITRY   " b { n . d @ . t r i
BANDITS   " b { n . d @ t s
BANDLEADER   " b { n d . l i . d @`
BANDLEADERS   " b { n d . l i . d @` z
BANDOLIER   % b { n . d @ . " l I r
BANDOLIERS   % b { n . d @ . " l I r z
BANDOW   " b { n . % d a&U 
BANDOW'S   " b { n . % d a&U z
BANDS   " b { n d z
BANDSHELL  b { n d . " S E l
BANDSTAND   " b { n d . % s t { n d
BANDT   " b { n t
BANDUCCI  b A n . " d u . t&S i
BANDWAGON   " b { n d . % w { . g @ n
BANDWIDTH   " b { n d . w I d T
BANDY   " b { n . d i
BANE   " b e&I n
BANEGAS   " b { . n I . g @ z
BANERJEE  b @ . " n 3` . d&Z i
BANES   " b e&I n z
BANESTO  b @ . " n E . s t o&U
BANESTO'S  b @ . " n E . s t o&U z
BANET   " b { . n I t
BANEY   " b e&I . n i
BANFF   " b { n f
BANFIELD   " b { n . % f i l d
BANFORD   " b { n . f @` d
BANG   " b { N
BANGALORE   " b { N . g @ . % l O r
BANGALORE'S   " b { N . g @ . % l O r z
BANGE   " b { n d&Z
BANGED   " b { N d
BANGEE   " b { n . d&Z i
BANGEMANN   " b { N . g @ . m @ n
BANGER   " b { . N @`
BANGERS   " b { . N @` z
BANGERT   " b e&I N . g @` t
BANGERTER   " b e&I N . g @` . t @`
BANGHART   " b { N . % h A r t
BANGING   " b { . N I N
BANGISH   " b { . N I S
BANGKOK  b { N . " k A k
BANGKOK'S   " b { N . k A k s
BANGKOK(2)   " b { N . k A k
BANGLADESH   " b { N . l @ . % d E S
BANGLADESH'S   " b { N . l @ . % d E . S I z
BANGLADESHI   " b { N . l @ . % d E . S i
BANGLADESHI'S   " b { N . l @ . % d E . S i z
BANGLADESHIS   " b { N . l @ . % d E . S i z
BANGLE   " b { N . g @ l
BANGO   " b A N . g o&U
BANGOR   " b { N . g @`
BANGOR(2)   " b { N . % g O r
BANGS   " b { N z
BANH   " b { n
BANIA   " b A . n i . @
BANICK   " b { . n I k
BANIK   " b { . n I k
BANIS   " b { . n I s
BANISH   " b { . n I S
BANISHED   " b { . n I S t
BANISHING   " b { . n I . S I N
BANISHMENT   " b { . n I S . m @ n t
BANISTER   " b { . n I . s t @`
BANJA   " b A . n j @
BANJO   " b { n . % d&Z o&U 
BANK   " b { N k
BANK'S   " b { N k s
BANKABLE   " b { N . k @ . b @ l
BANKAMERICA   % b { N . k @ . " m E . r I . k @
BANKAMERICA'S   % b { N . k @ . " m E . r I . k @ z
BANKATLANTIC   % b { N k . @ t . " l { n . t I k
BANKCARD   " b { N . % k A r d
BANKCORP   " b { N . % k O r p
BANKE   " b { N k
BANKEAST   % b { N . " k i s t
BANKED   " b { N k t
BANKEN   " b { N . k @ n
BANKER   " b { N . k @`
BANKER'S   " b { N . k @` z
BANKERS   " b { N . k @` z
BANKERS'   " b { N . k @` z
BANKERT   " b { N . k @` t
BANKES   " b { N k s
BANKEY   " b { n . % k i 
BANKHEAD   " b { N k . % h E d
BANKHOLDING   " b { N k . % h o&U l . d I N
BANKING   " b { N . k I N
BANKING'S   " b { N . k I N z
BANKNOTE   " b { N k . % n o&U t
BANKNOTES   " b { N k . % n o&U t s
BANKO   " b { N . k o&U
BANKOWSKI  b @ N . " k O f s . k i
BANKROLL   " b { N k . % r o&U l
BANKROLLED   " b { N k . % r o&U l d
BANKROLLING   " b { N k . % r o&U . l I N
BANKROLLS   " b { N k . % r o&U l z
BANKRUPCTY   " b { N . k r @ p t . s i
BANKRUPT   " b { N . k r @ p t
BANKRUPTCIES   " b { N . k r @ p t . s i z
BANKRUPTCY   " b { N . k r @ p . s i
BANKRUPTCY'S   " b { N . k r @ p . s i z
BANKRUPTCY(2)   " b { N . k r @ p t . s i
BANKRUPTED   " b { N . k r @ p . t I d
BANKRUPTING   " b { N . % k r V p . t I N
BANKS   " b { N k s
BANKS'   " b { N k s
BANKS'S   " b { N k . s I z
BANKSHARE   " b { N k . % S E r
BANKSHARES   " b { N k . % S E r z
BANKSON   " b { N k . s @ n
BANKSTON   " b { N k . s t @ n
BANKVEREIN   " b { N k . v @` . % a&I n
BANKVERMONT   " b { N k . v @` . " m A n t
BANKWORCESTER   " b { N k . " w 3` . % t&S E . s t @`
BANKWORCESTER(2)   " b { N . " k w u . s t @`
BANN   " b { n
BANNAN   " b { . n @ n
BANNED   " b { n d
BANNER   " b { . n @`
BANNER'S   " b { . n @` z
BANNERMAN   " b { . n @` . m @ n
BANNERS   " b { . n @` z
BANNICK   " b { . n I k
BANNING   " b { . n I N
BANNINGS   " b { . n I N z
BANNISTER   " b { . n @ . s t @`
BANNISTER(2)   " b { . n I . s t @`
BANNON   " b { . n @ n
BANOS   " b A . n o&U z
BANOUN  b @ . " n u n
BANPAIS   % b { n . " p e&I 
BANPONCE   " b { n . p A n s
BANQUE   " b { N k
BANQUET   " b { N . k w @ t
BANQUETS   " b { N . k w @ t s
BANQUO'S   " b { N . k w o&U z
BANS   " b { n z
BANSAL  b A n . " s { l
BANSHEE  b { n . " S i 
BANSHEE(2)   " b { n . S i
BANTA   " b { n . t @
BANTAM   " b { n . t @ m
BANTAM'S   " b { n . t @ m z
BANTAMS   " b { n . t @ m z
BANTER   " b { n . t @`
BANTERED   " b { n . t @` d
BANTERING   " b { n . t @` . I N
BANTLE   " b { n . t @ l
BANTON   " b { n . t @ n
BANTU   " b { n . t u
BANTZ   " b { n t s
BANUELOS  b A n . " w E . l o&U z
BANVILLE   " b A n . v I l
BANWART   " b { n . % w O r t
BANXQUOTE  b { N k . " s k w o&U t
BANYA   " b A . n j @
BANYA(2)   " b { . n j @
BANYALUCA   " b { . n j @ . % l u . k @
BANYAN   " b { . n j @ n
BANYAS   " b A . n j @ z
BANYAS(2)   " b { . n j @ z
BANYU   " b A . n u
BANZHAF   " b { n z . h @ f
BAO   " b a&U 
BAOGUANG   " b e&I . o&U . % g w { N
BAPLEY   " b { p . l i
BAPNA   " b A p . n @
BAPTISM   " b { p . t I . z @ m
BAPTISMAL  b { p . " t I z . m @ l
BAPTISMS   " b { p . % t I . z @ m z
BAPTIST   " b { p . t @ s t
BAPTIST(2)   " b { p . t I s t
BAPTISTA   % b { p . " t I . s t @
BAPTISTE  b @ p . " t I s t
BAPTISTERY   " b { p . t @ s . t r i
BAPTISTS   " b { p . t @ s t s
BAPTISTS(2)   " b { p . t @ s s
BAPTIZE  b { p . " t a&I z
BAPTIZED  b { p . " t a&I z d
BAPTIZED(2)   " b { p . % t a&I z d
BAR   " b A r
BAR'S   " b A r z
BAR-MITZVAH   " b A r . " m I t . s v @
BARA   " b A . r @
BARABAR   " b E . r @ . b A r
BARACH  b @ . " r A k
BARACH(2)  b @` . " A k
BARAFF  b A . " r A f
BARAHONA   % b { . r @ . " h o&U . n @
BARAJAS  b A . " r A . j A z
BARAK   " b A . r @ k
BARAKAT   " b A . r @ . % k A t
BARAM   " b E . r { m
BARAN  b A . " r A n
BARANEK   " b { . r @ . n I k
BARANOSKI  b @` . @ . " n a&U s . k i
BARANOWSKI  b @` . @ . " n O f s . k i
BARANSKI  b @` . " { n s . k i
BARANY  b @` . " O . n i
BARASCH   " b { . r @ S
BARASH   " b { . r @ S
BARATH   " b { . r @ T
BARATTA  b A . " r A . t @
BARB   " b A r b
BARB'S   " b A r b z
BARBA   " b A r . b @
BARBADOS  b A r . " b e&I . d o&U s
BARBAGALLO   % b A r . b @ . " g { . l o&U
BARBAKOW   " b A r . b @ . % k a&U 
BARBANEL   " b A r . b @ . n @ l
BARBANO  b A r . " b A . n o&U
BARBARA   " b A r . b @` . @
BARBARA'S   " b A r . b @` . @ z
BARBARA(2)   " b A r . b r @
BARBAREE   " b A r . b @` . " i 
BARBARIAN  b A r . " b E . r i . @ n
BARBARIANS  b A r . " b E . r i . @ n z
BARBARIC  b A r . " b { . r I k
BARBARIC(2)  b A r . " b E . r I k
BARBARINO  b A r . b A . " r i . n o&U
BARBARISM   " b A r . b @` . % I . z @ m
BARBARITY  b A r . " b { . r @ . t i
BARBARITY(2)  b A r . " b E . r @ . t i
BARBARO  b A r . " b A . r o&U
BARBAROUS   " b A r . b @` . @ s
BARBARY   " b A r . b @` . i
BARBASH   " b A r . % b { S
BARBATO  b A r . " b A . t o&U
BARBE   " b A r b
BARBEAU  b A r . " b o&U 
BARBECUE   " b A r . b I . % k j u 
BARBECUE'S   " b A r . b I . % k j u z
BARBECUED   " b A r . b I . % k j u d
BARBECUEING   " b A r . b I . % k j u . I N
BARBECUES   " b A r . b I . % k j u z
BARBED   " b A r b d
BARBEE   " b A r . " b i 
BARBELL   " b A r . % b E l
BARBELLA   % b A r . " b E . l @
BARBELLS   " b A r . % b E l z
BARBELS   " b A r . b @ l z
BARBEQUE   " b A r . b I . % k j u 
BARBEQUED   " b A r . b I . % k j u d
BARBEQUEING   " b A r . b I . % k j u . I N
BARBEQUES   " b A r . b I . % k j u z
BARBER   " b A r . b @`
BARBER'S   " b A r . b @` z
BARBERA  b A r . " b E . r @
BARBERI  b A r . " b E . r i
BARBERIO   % b A r . " b i . r i . o&U
BARBERIS   " b A r . b @` . I s
BARBERO  b A r . " b E . r o&U
BARBERS   " b A r . b @` z
BARBERSHOP   " b A r . b @` . % S A p
BARBETTE  b A r . " b E t
BARBIAN   " b A r . b i . @ n
BARBIE   " b A r . b i
BARBIE'S   " b A r . b i z
BARBIER   " b A r . b i . @`
BARBIERI  b A r . " b I . r i
BARBIERI'S  b A r . " b I . r i z
BARBIES   " b A r . b i z
BARBIN   " b A r . b I n
BARBITURATE  b A r . " b I . t&S @` . @ t
BARBITURATES  b A r . " b I . t&S @` . @ t s
BARBO   " b A r . b o&U
BARBONE   " b A r . % b o&U n
BARBOSA  b A r . " b o&U . s @
BARBOUR   " b A r . b @`
BARBOUR'S   " b A r . b @` z
BARBOZA  b A r . " b o&U . z @
BARBRA   " b A r . b r @
BARBRE   " b A r . b @`
BARBS   " b A r b z
BARBY   " b A r . b i
BARCA   " b A r . k @
BARCELLA   % b A r . " s E . l @
BARCELLOS  b A r . " s E . l o&U z
BARCELO  b A r . " t&S E . l o&U
BARCELONA   % b A r . s I . " l o&U . n @
BARCENAS   " b A r . s I . n @ z
BARCH   " b A r k
BARCHEFSKY  b A . " t&S E f s . k i
BARCIA   " b A r . t&S @
BARCLAY   " b A r k . % l e&I 
BARCLAY'S   " b A r . k l i z
BARCLAY'S(2)   " b A r k . l e&I z
BARCLAY(2)   " b A r k . % l i 
BARCLAYS   " b A r . k l i z
BARCLAYS'   " b A r . k l i z
BARCLAYS'(2)   " b A r k . l e&I z
BARCLAYS'S   " b A r . % k l i . z I z
BARCLAYS'S(2)   " b A r . % k l e&I . z I z
BARCLAYS(2)   " b A r k . l e&I z
BARCLIFT   " b A r k . l I f t
BARCO   " b A r . k o&U
BARCO'S   " b A r . k o&U z
BARCOMB   " b A r . k @ m
BARCROFT   " b A r . % k r O f t
BARCUS   " b A r . k @ s
BARCZAK   " b A r . t&S { k
BARD   " b A r d
BARD'S   " b A r d z
BARDELL  b A r . " d E l
BARDEN   " b A r . d @ n
BARDERA   % b A r . " d E . r @
BARDIN   " b A r . d I n
BARDO   " b A r . d o&U
BARDOLF   " b A r . % d o&U l f
BARDOLPH   " b A r . d A l f
BARDON  b A r . " d O n
BARDRICK   " b A r . d r I k
BARDSLEY   " b A r d s . l i
BARDULF   " b A r . d @ l f
BARDULPH   " b A r . d @ l f
BARDWELL   " b A r d . % w E l
BARE   " b E r
BARED   " b E r d
BAREFIELD   " b { . r I f . i l d
BAREFIELD(2)   " b { r . f i l d
BAREFOOT   " b E r . % f Ur t
BAREIS   " b { . r a&I z
BARELA  b A . " r E . l @
BARELY   " b E r . l i
BARENBOIM   " b E . r @ n . % b O&I m
BARENBOIM'S   " b E . r @ n . % b O&I m z
BARENS   " b E . r @ n z
BARENTINE  b A . r E n . " t i . n i
BARENTINE(2)   " b E . r @ n . " t i n
BARENTINE(3)   " b E . r @ n . " t a&I n
BARENTS   " b E . r @ n t s
BARES   " b E r z
BAREST   " b E . r @ s t
BAREY   " b E . r i
BARFIELD   " b A r . % f i l d
BARFKNECHT   " b A r f . k @ . n E k t
BARFKNECHT(2)   " b A r f . n E k t
BARFOOT   " b A r . % f Ur t
BARFUSS   " b A r . % f V s
BARG   " b A r g
BARGA   " b A r . g @
BARGAIN   " b A r . g @ n
BARGAIN(2)   " b A r . g I n
BARGAINED   " b A r . g @ n d
BARGAINER   " b A r . g I . n @`
BARGAINERS   " b A r . g I . n @` z
BARGAINING   " b A r . g I . n I N
BARGAINS   " b A r . g @ n z
BARGAINS(2)   " b A r . g I n z
BARGANIER   " b A r . g @ . n i . @`
BARGAR  b A r . " g A r
BARGAS   " b A r . g @ z
BARGE   " b A r d&Z
BARGED   " b A r d&Z d
BARGER   " b A r . d&Z @`
BARGERON   " b A r . g @` . @ n
BARGES   " b A r . d&Z @ z
BARGES(2)   " b A r . d&Z I z
BARGMAN   " b A r g . m @ n
BARGMANN   " b A r g . m @ n
BARGO   " b A r . % g o&U 
BARHORST   " b A r . h O r s t
BARI   " b A . r i
BARI'S   " b A . r i z
BARIBEAU   " b { . r I . b o&U
BARICH   " b { . r I k
BARIL   " b E . r @ l
BARILE   " b A . r @ l
BARILLARI   % b E . r I . " l E . r i
BARILLARI'S   % b E . r I . " l E . r i z
BARILLO  b @` . " I . l o&U
BARINCO  b @` . " I N . % k o&U 
BARING   " b E . r I N
BARING'S   " b E . r I N z
BARINGER   " b E . r I . N @`
BARINGS   " b E . r I N z
BARINGS'   " b E . r I N z
BARIS   " b A . r i z
BARISH   " b E . r I S
BARITE   " b E . r a&I t
BARITES   " b E . r a&I t s
BARITONE   " b E . r @ . % t o&U n
BARIUM   " b E . r i . @ m
BARK   " b A r k
BARKAI  b A r . " k a&I 
BARKALOW   " b A r . k @ . % l o&U 
BARKAN   " b A r . k @ n
BARKDOLL   " b A r k . d @ l
BARKDULL   " b A r k . d @ l
BARKE   " b A r k
BARKED   " b A r k t
BARKELEY   " b A r k . l i
BARKER   " b A r . k @`
BARKERS   " b A r . k @` z
BARKES   " b A r k s
BARKETT   " b A r . k I t
BARKEY   " b A r . % k i 
BARKHURST   " b A r k . h @` s t
BARKIN   " b A r . k I n
BARKING   " b A r . k I N
BARKLEY   " b A r k . l i
BARKLOW   " b A r . % k l o&U 
BARKMAN   " b A r k . m @ n
BARKO   " b A r . k o&U
BARKOCY   " b A r . k @ . s i
BARKOW   " b A r . k o&U
BARKS   " b A r k s
BARKSDALE   " b A r k s . % d e&I l
BARKSHIRE   " b A r k . % S a&I r
BARKUS   " b A r . k @ s
BARLAGE   " b A r . l I d&Z
BARLETT   " b A r . l I t
BARLETTA  b A r . " l E . t @
BARLETTESVILLE   " b A r . l @ t s . % v I l
BARLEY   " b A r . l i
BARLOON  b A r . " l u n
BARLOW   " b A r . % l o&U 
BARLOWE   " b A r . % l o&U 
BARMAN   " b A r . m @ n
BARMORE   " b A r . m O r
BARN   " b A r n
BARNA   " b A r . n @
BARNABAS   " b A r . n @ . b @ s
BARNABY   " b A r . n @ . b i
BARNABY'S   " b A r . n @ . b i z
BARNACLE   " b A r . n @ . k @ l
BARNACLES   " b A r . n @ . k @ l z
BARNARD   " b A r . n @` r d
BARNARD'S   " b A r . n @` d z
BARNARD(2)  b @` . " n A r d
BARNARD(3)   " b A r . n A r d
BARNARDS   " b A r . n @` d z
BARNAS   " b A r . n @ z
BARNDT   " b A r n t
BARNELL   " b A r . n @ l
BARNER   " b A r . n @`
BARNES   " b A r n z
BARNET   " b A r . n I t
BARNETT  b A r . " n E t
BARNETT'S  b A r . " n E t s
BARNETTE   " b A r . " n E t
BARNEVIK  b A r . " n E . v I k
BARNEY   " b A r . n i
BARNEY'S   " b A r . n i z
BARNEYS   " b A r . n i z
BARNFIELD   " b A r n . % f i l d
BARNHARD   " b A r n . % h A r d
BARNHARDT   " b A r n . % h A r t
BARNHART   " b A r n . % h A r t
BARNHILL   " b A r n . % h I l
BARNHOUSE   " b A r n . % h a&U s
BARNICK   " b A r . n I k
BARNICLE   " b A r . n I . k @ l
BARNISH   " b A r . n I S
BARNO   " b A r . n o&U
BARNOWSKI  b A r . " n a&U s . k i
BARNS   " b A r n z
BARNSTORM   " b A r n . % s t O r m
BARNSTORMING   " b A r n . % s t O r . m I N
BARNUM   " b A r . n @ m
BARNWELL   " b A r n . % w E l
BARNY   " b A r . n i
BARNYARD   " b A r n . % j A r d
BARO   " b A . r o&U
BAROID  b @` . " O&I d
BAROMETER  b @` . " A . m I . t @`
BAROMETERS  b @` . " A . m I . t @` z
BAROMETRIC   % b { . r @ . " m E . t r I k
BARON   " b { . r @ n
BARON'S   " b { . r @ n z
BARON'S(2)   " b E . r @ n z
BARON(2)   " b E . r @ n
BARONE  b @` . " o&U n
BARONE'S  b @` . " o&U n z
BARONESS   " b E . r @ . n I s
BARONET   " b E . r @ . n @ t
BARONET(2)   % b E . r @ . " n E t
BARONETS   " b E . r @ . n @ t s
BARONETS(2)   % b E . r @ . " n E t s
BARONI  b A . " r o&U . n i
BARONS   " b { . r @ n z
BARONS(2)   " b E . r @ n z
BAROODY  b @` . " u . d i
BAROQUE  b @` . " o&U k
BAROS   " b A . r o&U z
BAROVIC   " b E . r @ . v I k
BAROVSKY  b @` . " A v s . k i
BARR   " b A r
BARR'S   " b A r z
BARRA   " b A . r @
BARRACK   " b { . r @ k
BARRACK(2)   " b E . r @ k
BARRACKS   " b { . r @ k s
BARRACKS(2)   " b E . r @ k s
BARRACLOUGH   " b { . r @ k . l a&U
BARRACO  b A . " r A . k o&U
BARRACUDA   % b E . r @ . " k u . d @
BARRADINO   % b E . r @ . " d i . n o&U
BARRAGAN   " b E . r @ . g @ n
BARRAGE  b @` . " A Z
BARRAGED  b @` . " A Z d
BARRAGES  b @` . " A . Z I z
BARRANCO  b A . " r A n . k o&U
BARRAS   " b { . r @ z
BARRASSO   % b A . " r A . s o&U
BARRATT   " b { . r @ t
BARRAZA   % b A . " r A . z @
BARRE   " b E . r i
BARRE(2)   " b A r
BARRECA   % b A . " r E . k @
BARRED   " b A r d
BARREDA  b A . " r e&I . d @
BARREIRO  b A . " r E . r o&U
BARREL   " b { . r @ l
BARREL(2)   " b E . r @ l
BARRELED   " b { . r @ l d
BARRELED(2)   " b E . r @ l d
BARRELING   " b { . r @ l . I N
BARRELING(2)   " b E . r @ l . I N
BARRELL  b A . " r e&I l
BARRELS   " b { . r @ l z
BARRELS(2)   " b E . r @ l z
BARREN   " b { . r @ n
BARREN(2)   " b E . r @ n
BARRENS   " b { . r @ n z
BARRENTINE   " b { . r @ n . % t a&I n
BARRERA   % b A . " r E . r @
BARRERAS  b A . " r E . r A z
BARRES   " b A r z
BARRESI   % b A . " r E . s i
BARRET   " b { . r I t
BARRETO  b A . " r E . t o&U
BARRETT   " b { . r I t
BARRETT(2)   " b E . r I t
BARRETTA  b A . " r E . t @
BARRETTE  b @` . " E t
BARRETTO  b A . " r E . t o&U
BARRICADA   % b A . r I . " k A . d @
BARRICADE   " b { . r @ . % k e&I d
BARRICADE(2)   " b E . r @ . % k e&I d
BARRICADED   " b { . r @ . % k e&I . d I d
BARRICADED(2)   " b E . r @ . % k e&I . d I d
BARRICADES   " b { . r @ . % k e&I d z
BARRICADES(2)   " b E . r @ . % k e&I d z
BARRICK   " b { . r I k
BARRICK'S   " b { . r I k s
BARRICK'S(2)   " b E . r I k s
BARRICK(2)   " b E . r I k
BARRICKLOW   " b { . r I k . l a&U
BARRICKMAN   " b { . r I k . m @ n
BARRIE   " b { . r i
BARRIE(2)   " b E . r i
BARRIENTES  b @` . " i n t s
BARRIENTEZ  b A . " r i n . t E z
BARRIENTOS  b A . " r i n . t o&U z
BARRIER   " b { . r i . @`
BARRIER(2)   " b E . r i . @`
BARRIERE  b A . " r I . r i
BARRIERS   " b { . r i . @` z
BARRIERS(2)   " b E . r i . @` z
BARRIGA   % b A . " r i . g @
BARRIGER   " b { . r I g . @`
BARRILLEAUX   " b { . r I l . % o&U 
BARRINEAU   " b { . r I n . % o&U 
BARRING   " b A . r I N
BARRINGER   " b { . r I N . @`
BARRINGS   " b A . r I N z
BARRINGTON   " b { . r I N . t @ n
BARRINGTON(2)   " b E . r I N . t @ n
BARRIO   " b A . r i . o&U
BARRIOS  b A . " r i . o&U z
BARRIOS(2)  b E . " r i . o&U z
BARRIS   " b { . r I s
BARRIS(2)   " b E . r I s
BARRISH   " b { . r I S
BARRISTER   " b { . r I s . t @`
BARRISTER(2)   " b E . r I . s t @`
BARRISTERS   " b { . r I s . t @` z
BARRISTERS(2)   " b E . r I . s t @` z
BARRITT  b @` . " I t
BARRO   " b A . r o&U
BARRON   " b { . r @ n
BARRON'S   " b { . r @ n z
BARRON'S(2)   " b E . r @ n z
BARRON(2)   " b E . r @ n
BARRONE  b @` . " o&U n
BARROOM   " b A r . % r u m
BARROS   " b A . r o&U z
BARROSO   % b A . " r o&U . s o&U
BARROW   " b { . r o&U
BARROW(2)   " b E . r o&U
BARROWMAN   " b { . r o&U . m @ n
BARROWMAN(2)   " b E . r o&U . m @ n
BARROWS   " b { . r o&U z
BARROWS(2)   " b E . r o&U z
BARRS   " b A r z
BARRUS   " b { . r @ s
BARRY   " b { . r i
BARRY'S   " b { . r i z
BARRY'S(2)   " b E . r i z
BARRY(2)   " b E . r i
BARRYMORE   " b { . r i . % m O r
BARRYMORE(2)   " b E . r i . % m O r
BARS   " b A r z
BARSAMIAN   % b A r . " s e&I . m i . @ n
BARSANTI  b A r . " s A n . t i
BARSCH   " b A r S
BARSCHEL   " b A r . S @ l
BARSH   " b A r S
BARSHEFSKY   % b A r . " S E f s . k i
BARSKY   " b A r s . k i
BARSNESS   " b A r z . n @ s
BARSON   " b A r . s @ n
BARSOTTI  b A r . " s o&U . t i
BARSTAD   " b A r . s t @ d
BARSTOW   " b A r . % s t o&U 
BARSZCZ   " b A r S t&S
BART   " b A r t
BARTA   " b A r . t @
BARTAK   " b A r . t @ k
BARTEE   " b A r . % t i 
BARTEK   " b A r . % t E k
BARTEL   " b A r . t @ l
BARTELL  b A r . " t e&I l
BARTELS   " b A r . t @ l z
BARTELSON   " b A r . t I l . s @ n
BARTELT   " b A r . t I l t
BARTEN   " b A r . t @ n
BARTENDER   " b A r . % t E n . d @`
BARTENDERS   " b A r . % t E n . d @` z
BARTER   " b A r . t @`
BARTERED   " b A r . t @` d
BARTERING   " b A r . t @` . I N
BARTH   " b A r T
BARTHA   " b A r . T @
BARTHEL   " b A r . T @ l
BARTHELEMY   % b A r . " T E . l @ . m i
BARTHELME   " b A r . T @ l m
BARTHELME'S   " b A r . T @ l m z
BARTHES   " b A r T s
BARTHOLD   " b A r . % T o&U l d
BARTHOLOMAY  b A r . T @ . " l A . m e&I
BARTHOLOMEW  b A r . " T A . l @ . % m j u 
BARTHOLOW   " b A r . T @ . l o&U
BARTHRAM   " b A r . % T r { m
BARTKO   " b A r t . k o&U
BARTKOWIAK  b @` t . " k a&U . i . { k
BARTKOWSKI  b @` t . " k O f s . k i
BARTKUS   " b A r t . k I s
BARTL   " b A r . t @ l
BARTLE   " b A r . t @ l
BARTLEBAUGH   " b A r . t @ l . b O
BARTLES   " b A r . t @ l z
BARTLESON   " b A r . t @ l . s @ n
BARTLESVILLE   " b A r . t @ l z . % v I l
BARTLETT   " b A r t . l I t
BARTLETT'S   " b A r t . l @ t s
BARTLEY   " b A r t . l i
BARTLING   " b A r t . l I N
BARTLOW   " b A r t . l o&U
BARTMAN   " b A r t . m @ n
BARTMESS   " b A r t . m I s
BARTNICK   " b A r t . n I k
BARTNICKI  b @` t . " n I t s . k i
BARTNIK   " b A r t . n I k
BARTO   " b A r . t o&U
BARTOK   " b A r . t @ k
BARTOL   " b A r . t @ l
BARTOLETTI  b A r . t o&U . " l E . t i
BARTOLI  b A r . " t o&U . l i
BARTOLINI  b A r . t o&U . " l i . n i
BARTOLO  b A r . " t o&U . l o&U
BARTOLOMEI  b A r . t o&U . l o&U . " m e&I . i
BARTOLOMEO  b A r . t O . l @ . " m e&I . o&U
BARTOLUCCI  b A r . t o&U . " l u . t&S i
BARTON   " b A r . t @ n
BARTON'S   " b A r . t @ n z
BARTONE  b A r . " t o&U . n i
BARTOO   " b A r . t&S u
BARTOS   " b A r . t o&U z
BARTOSCH   " b A r . t O S
BARTOSH   " b A r . t @ S
BARTOSIEWICZ  b @` . " t A . s @ . v I t&S
BARTOSIK  b @` . " t o&U . s I k
BARTOSZEK  b @` . " t A . S E k
BARTOW   " b A r . % t o&U 
BARTRAM   " b A r . % t r { m
